633,381,124,106
631,381,128,107
632,387,129,108
632,388,130,109
630,388,133,109
633,388,134,110
632,387,135,108
631,388,137,107
631,391,143,109
631,391,142,109
633,399,145,111
632,399,149,112
632,399,150,113
634,399,153,115
633,399,155,114
632,399,155,116
635,394,158,116
635,394,158,116
637,391,162,119
636,390,163,120
635,389,164,120
635,389,171,122
634,389,173,121
635,389,172,120
638,395,174,118
637,397,175,117
638,395,185,119
636,393,188,125
638,395,186,120
641,393,191,123
640,392,192,124
640,392,192,124
642,390,196,126
639,388,199,128
640,389,203,131
640,389,205,132
641,389,206,133
640,387,211,136
640,387,212,137
640,387,215,138
635,383,221,145
636,383,219,144
631,383,227,149
630,383,228,149
630,384,229,150
628,389,227,149
626,389,228,150
626,389,231,151
622,393,241,158
622,393,239,156
618,399,244,159
617,398,246,161
618,398,246,160
614,403,248,173
614,402,250,174
617,402,245,171
608,405,255,182
608,405,255,181
602,412,261,187
602,413,263,188
601,412,266,188
593,415,269,194
594,416,267,193
595,415,266,192
588,417,273,197
584,416,275,198
577,414,273,204
578,414,273,204
577,414,272,204
567,417,274,202
569,415,269,203
569,415,268,202
564,423,272,205
562,421,272,205
554,438,272,205
557,435,273,209
557,435,273,209
552,454,274,210
552,453,274,210
552,452,271,208
547,466,267,204
549,467,266,203
540,468,265,203
541,468,264,207
541,468,265,208
536,471,265,207
536,471,262,205
535,471,260,205
532,477,253,203
532,477,252,203
527,482,246,203
528,485,243,205
527,485,243,203
521,489,242,202
525,492,239,199
524,491,237,202
521,495,229,199
522,497,226,203
513,503,222,199
514,504,221,198
512,503,220,198
507,506,217,194
508,507,217,194
508,507,214,192
506,504,210,188
506,504,208,187
505,495,204,183
505,495,204,183
505,493,204,183
504,484,199,179
504,484,198,178
503,484,198,177
503,474,194,174
504,474,193,173
502,461,190,170
502,462,189,170
503,462,189,170
503,454,185,166
504,455,184,165
505,456,182,163
506,455,179,160
508,455,177,159
509,453,175,157
509,453,173,155
510,453,172,154
511,446,166,149
512,447,164,147
512,447,164,147
515,439,164,147
514,439,164,147
517,431,160,143
518,432,158,142
519,432,158,141
521,424,155,139
522,424,154,138
521,423,154,138
524,415,151,136
524,416,151,135
527,407,148,133
527,406,150,134
527,407,149,134
530,398,144,129
530,399,143,128
531,400,143,128
533,392,140,126
534,394,139,125
534,392,137,123
535,393,137,123
535,393,138,123
535,392,135,121
536,393,135,121
536,394,135,121
532,394,133,119
532,394,131,118
530,398,130,116
530,399,128,115
531,399,127,114
529,402,126,113
530,404,126,112
530,404,125,112
531,407,123,110
531,407,122,110
531,407,122,109
530,406,121,108
530,407,120,108
530,409,119,107
530,410,118,106
531,411,118,106
530,413,116,104
530,413,116,104
530,415,116,104
530,415,115,103
530,416,114,102
529,418,114,102
529,419,112,101
530,420,111,100
528,423,111,100
529,425,110,98
527,428,109,98
527,429,109,97
527,430,107,96
527,433,107,96
527,434,106,95
527,434,106,95
528,435,105,94
528,436,106,95
530,438,105,95
530,438,106,95
530,438,106,95
531,441,105,94
531,441,104,93
531,441,104,93
533,440,103,92
533,440,103,92
533,440,103,92
535,429,102,92
535,429,102,92
538,414,102,91
538,413,101,91
538,413,101,91
541,399,101,91
541,399,102,91
541,398,102,91
548,383,102,91
545,386,101,91
549,378,101,91
548,378,101,91
549,379,101,91
552,376,102,91
552,374,101,91
553,374,101,91
556,374,102,91
556,374,101,91
560,374,101,91
560,374,102,91
560,374,102,91
563,363,103,92
563,363,103,92
563,363,102,92
564,347,104,93
564,347,104,93
566,334,104,93
566,333,104,93
566,333,104,93
568,328,104,93
568,328,104,93
568,328,104,93
569,327,105,94
569,327,105,94
569,324,105,94
569,323,105,94
569,323,105,94
569,315,105,94
570,316,105,94
569,315,105,94
570,309,105,94
569,309,105,94
569,308,105,94
569,308,105,94
569,307,105,94
568,310,105,94
568,308,105,96
568,308,105,96
568,311,105,96
